Product Usage Report,,
Jakata Salon,,
01/08/20 - 30/11/20 (Days: 122),,
Staff All,,
COLOUR,,
Schwarzkopf,,
Colour Bleach,#,Cost
Igora Vario Blond Super Plus ,7,110.60
BM Premi Lift 9+,44,623.92
Total,51,734.52
Colour Developers,#,Cost
IGORA Royal Oxigenta 6% 1 Litre,16,91.68
IGORA Royal Oxigenta 9% 1 Litre,1,5.73
BM Developer 9%,4,24.24
BM Developer 6%,26,157.56
IGORA Royal Oxigenta 3% 1 Litre,9,51.57
BM Developer 2%,30,181.80
Vibrance 1.9% lotion,26,144.30
Vibrance Lotion 4%,2,11.10
Total,114,667.98
Colour Tubes,#,Cost
BM Bleach & tone pastel additive,2,12.84
"Vibrance 9,5-98",3,14.76
IGORA Royal Opulescence 5-67,3,17.28
IGORA Royal FL L-89,3,17.28
Vibrance 7-77,2,9.84
IGORA Royal 5-68,2,11.10
IGORA Royal ABS 8-01,1,5.76
Vibrance 7-1,15,73.80
Royal Ashy Cedar 7-21,3,16.65
IGORA Royal 9-65,1,5.55
IGORA Royal 9-4,6,33.30
Vibrance 5-0,2,9.84
IGORA Color10 6-00,7,38.85
IGORA Royal FL L-77,6,34.56
Vibrance 9-65,2,9.84
Page 1,,
IGORA Royal 5-0,18,99.90
IGORA Royal Nude 7-46,4,22.20
Vibrance 7-65,8,39.36
IGORA Royal 10-0,1,5.55
IGORA Royal 7-4,11,61.05
Vibrance 5-7,1,4.92
IGORA Royal 5-6,6,33.30
IGORA Royal 8-4,8,44.40
BM toning lilac,6,38.52
Igora dusted rouge 7-982,1,5.76
IGORA Royal 10-14,3,16.65
IGORA Royal 5-1,6,33.30
vibrance 0-22,1,4.92
IGORA Color10 7-12,4,22.20
BM toning strawberry,8,51.36
Vibrance 7-48,2,9.84
BM toning sand,5,32.10
IGORA Royal Nude 8-46,3,16.65
Vibrance 8-0,7,34.44
IGORA Royal 7-00,4,22.20
Vibrance 8-46,8,39.36
TBH 10-19 C,4,0.00
IGORA Royal 6-00,6,33.30
Vibrance 6-63,2,9.84
"IGORA Royal 9,5-1",15,83.25
Vibrance Ashy Cedar 5-21,1,4.92
IGORA Royal 8-00,8,44.40
IGORA Royal 1-0,1,5.55
IGORA Royal 8-77,6,33.30
